Depth :28 Time :283
Depth :28 Time :137
Depth :28 Time :98
Depth :28 Time :224
Depth :28 Time :2
Depth :28 Time :45
Depth :28 Time :8
Depth :28 Time :1
Depth :28 Time :134
Depth :28 Time :6
Depth :28 Time :5
Depth :28 Time :1
Depth :28 Time :1
Depth :28 Time :3
Depth :28 Time :12
Depth :28 Time :7
Depth :28 Time :52
Depth :28 Time :30
Depth :28 Time :1
Depth :28 Time :2
Depth :28 Time :25
Depth :28 Time :27
Depth :28 Time :1
Depth :28 Time :2
Depth :28 Time :2
Depth :28 Time :1
Depth :28 Time :515
Depth :28 Time :370
Depth :28 Time :320
Depth :28 Time :345
Depth :28 Time :257
Depth :28 Time :147
Depth :28 Time :4
Depth :28 Time :9
Depth :28 Time :94
Depth :28 Time :9
Depth :28 Time :2
Depth :28 Time :2
Depth :28 Time :25
Depth :28 Time :1
Depth :28 Time :4
Depth :28 Time :76
Depth :28 Time :6
Depth :28 Time :21
Depth :28 Time :28
Depth :28 Time :2
Depth :28 Time :1
Depth :28 Time :1
Depth :28 Time :1
Depth :28 Time :1
Depth :28 Time :6
Depth :28 Time :5
Depth :28 Time :32
Depth :28 Time :1
Depth :28 Time :525
Depth :28 Time :507
Depth :28 Time :431
Depth :28 Time :18
Depth :28 Time :47
Depth :28 Time :9
Depth :28 Time :2
Depth :28 Time :43
Depth :28 Time :1
Depth :28 Time :1
Depth :28 Time :4
Depth :28 Time :4
Depth :28 Time :2
Depth :28 Time :1
Depth :28 Time :21
Depth :28 Time :7
Depth :28 Time :2
Depth :28 Time :3
Depth :28 Time :4
Depth :28 Time :8
Depth :28 Time :1
Depth :28 Time :495
Depth :28 Time :486
Depth :28 Time :297
Depth :28 Time :283
Depth :28 Time :10
Depth :28 Time :3
Depth :28 Time :54
Depth :28 Time :1
Depth :28 Time :7
Depth :28 Time :2
Depth :28 Time :2
Depth :28 Time :43
Depth :28 Time :10
Depth :28 Time :437
Depth :28 Time :490
Depth :28 Time :519
Depth :28 Time :492
Depth :28 Time :147
Depth :28 Time :84
Depth :28 Time :531
Depth :28 Time :57
Depth :28 Time :493
Depth :28 Time :3
Depth :28 Time :31
Depth :28 Time :553
Depth :28 Time :16
Depth :28 Time :2
Depth :28 Time :19
Depth :28 Time :7
Depth :28 Time :3
Depth :28 Time :10
Depth :28 Time :1
Depth :28 Time :2
Depth :28 Time :1
Depth :28 Time :4
Depth :28 Time :99
Depth :28 Time :10
Depth :28 Time :3
Depth :28 Time :264
Depth :28 Time :1
Depth :28 Time :1
Depth :28 Time :82
Depth :28 Time :4
Depth :28 Time :14
Depth :28 Time :50
Depth :28 Time :1
Depth :28 Time :50
Depth :28 Time :4
Depth :28 Time :2
Depth :28 Time :1
Depth :28 Time :10
Depth :28 Time :521
Depth :28 Time :89
Depth :28 Time :126
Depth :28 Time :20
Depth :28 Time :2
Depth :28 Time :8
Depth :28 Time :3
Depth :28 Time :1
Depth :28 Time :20
Depth :28 Time :8
Depth :28 Time :3
Depth :28 Time :2
Depth :28 Time :1
Depth :28 Time :514
Depth :28 Time :480
Depth :28 Time :437
Depth :28 Time :506
Depth :28 Time :77
Depth :28 Time :4
Depth :28 Time :2
Depth :28 Time :21
Depth :28 Time :128
Depth :28 Time :2
Depth :28 Time :76
Depth :28 Time :4
Depth :28 Time :8
Depth :28 Time :1
Depth :28 Time :1
Depth :28 Time :1
Depth :28 Time :2
Depth :28 Time :16
Depth :28 Time :8
Depth :28 Time :11
Depth :28 Time :4
Depth :28 Time :132
Depth :28 Time :1
Depth :28 Time :4
Depth :28 Time :100
Depth :28 Time :42
Depth :28 Time :3
Depth :28 Time :1
Depth :28 Time :1
Depth :28 Time :2
Depth :28 Time :21
Depth :28 Time :16
Depth :28 Time :7
Depth :28 Time :2
Depth :28 Time :519
Depth :28 Time :515
Depth :28 Time :473
Depth :28 Time :111
Depth :28 Time :511
Depth :28 Time :61
Depth :28 Time :4
Depth :28 Time :4
Depth :28 Time :1
Depth :28 Time :15
Depth :28 Time :21
Depth :28 Time :1
Depth :28 Time :2
Depth :28 Time :2
Depth :28 Time :2
Depth :28 Time :8
Depth :28 Time :1
Depth :28 Time :207
Depth :28 Time :138
Depth :28 Time :7
Depth :28 Time :1
Depth :28 Time :43
Depth :28 Time :148
Depth :28 Time :17
Depth :28 Time :7
Depth :28 Time :3
Depth :28 Time :44
