experiment,graph,skeleton,nodes,hpx_threads,workers,spawn_depth,backtrack_budget,run,timeout,wall_ms,cpu_ms,vc_size,exit_code,log_file
SEQ,p_hat500-1.clq,seq,1,1,0,5,10000000,1,120m,837,726,491,0,/cluster/YewParVCTest/results_vc_full/logs/p_hat500-1.clq.seq.r1.log
SEQ,p_hat500-2.clq,seqvc,1,1,0,5,10000000,1,120m,15436,15338,464,0,/cluster/YewParVCTest/results_vc_full/logs/p_hat500-2.clq.seqvc.r1.log
SEQ,p_hat500-2.clq,seq,1,1,0,5,10000000,1,120m,10513,10349,464,0,/cluster/YewParVCTest/results_vc_full/logs/p_hat500-2.clq.seq.r1.log
SEQ,p_hat500-3.clq,seqvc,1,1,0,5,10000000,1,120m,6577754,6577598,450,0,/cluster/YewParVCTest/results_vc_full/logs/p_hat500-3.clq.seqvc.r1.log
SEQ,p_hat500-3.clq,seq,1,1,0,5,10000000,1,120m,4148959,4148715,450,0,/cluster/YewParVCTest/results_vc_full/logs/p_hat500-3.clq.seq.r1.log
SEQ,p_hat700-1.clq,seqvc,1,1,0,5,10000000,1,120m,3671,3574,689,0,/cluster/YewParVCTest/results_vc_full/logs/p_hat700-1.clq.seqvc.r1.log
SEQ,p_hat700-1.clq,seq,1,1,0,5,10000000,1,120m,2996,2812,689,0,/cluster/YewParVCTest/results_vc_full/logs/p_hat700-1.clq.seq.r1.log
SEQ,p_hat700-2.clq,seqvc,1,1,0,5,10000000,1,120m,159877,159680,656,0,/cluster/YewParVCTest/results_vc_full/logs/p_hat700-2.clq.seqvc.r1.log
SEQ,p_hat700-2.clq,seq,1,1,0,5,10000000,1,120m,109775,109510,656,0,/cluster/YewParVCTest/results_vc_full/logs/p_hat700-2.clq.seq.r1.log
SEQ,p_hat700-3.clq,seqvc,1,1,0,5,10000000,1,120m,7200011,,,124,/cluster/YewParVCTest/results_vc_full/logs/p_hat700-3.clq.seqvc.r1.log
SEQ,p_hat700-3.clq,seq,1,1,0,5,10000000,1,120m,7200022,,,124,/cluster/YewParVCTest/results_vc_full/logs/p_hat700-3.clq.seq.r1.log
